Caregories (for Grouping) >,,Category A,Category A,Category A,Category B,Category B,Category B,Category B,Category B,Category B,Category B,Category B,Category B,Category B,Etc.,Etc.
Criteria Descriptions >,,Criterion Description 01,Criterion Description 02,Criterion Description 03,Criterion Description 04,Criterion Description 05,Criterion Description 06,Criterion Description 07,Criterion Description 08,Criterion Description 09,Criterion Description 10,Criterion Description 11,Criterion Description 12,Criterion Description 13,Etc.,Etc.
Criteria Names >,,Criterion Name 01,Criterion Name 02,Criterion Name 03,Criterion Name 04,Criterion Name 05,Criterion Name 06,Criterion Name 07,Criterion Name 08,Criterion Name 09,Criterion Name 10,Criterion Name 11,Criterion Name 12,Criterion Name 13,Etc.,Etc.
Type >,,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Enter Type,Etc.,Etc.
Weight >,,,,,,,,,,,,,,,,
Vendor 1,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 2,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 3,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 4,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 5,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 6,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 7,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 8,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 9,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 10,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 11,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Vendor 12,,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry,Entry
Etc.,,,,,,,,,,,,,,,,
Etc.,,,,,,,,,,,,,,,,
